preset,classification,evidence
Most Active,SUPPORTED NOW,"Rank by observed listing-quantity and minimum-price transitions per asset. 6,145 listing transitions and 3,747 minimum-price transitions are recorded over 201,035 adjacent five-minute comparisons; 91 assets show at least one listing change and 94 at least one price change."
Price Movers,SUPPORTED NOW,Absolute observed return over 1h/6h/24h/7d is computable for all 100 assets. Rank on median listing price as well as minimum price: minimum price is the single cheapest listing and is the noisier of the two.
Price Up,SUPPORTED NOW,27 assets closed the period above their first minimum price; horizon-level counts are available for every asset.
Price Down,SUPPORTED NOW,65 assets closed below their first minimum price.
Listings Contracting,SUPPORTED NOW,"Listing-quantity change over 1h/6h/24h/7d is observed directly; 55 assets ended with fewer listings. This is Skinport venue supply, not global circulating supply."
Listings Expanding,SUPPORTED NOW,30 assets ended with more listings. Same venue-scope caveat.
High Volatility,EXPERIMENTAL,"Realized volatility of five-minute minimum-price returns is computable for all 100 assets and non-zero for 94, but the ranking is dominated by price granularity: 7 of the 10 highest-volatility assets trade under USD 2, where a one-cent tick is a multi-percent move, while only 22 of 100 assets are under USD 2. Needs a price-level control or a median-price basis before it is shipped as a ranking."
Quiet Markets,SUPPORTED NOW,6 assets recorded zero minimum-price transitions and 9 recorded zero listing-quantity transitions across the full seven days; no asset was quiet on both. The absence of change is directly observed rather than inferred.
Fresh Changes,SUPPORTED NOW,"Every observation carries observed_at and provider source_updated_at. Median source age is 302.99s and p95 311.82s, so ""changed in the last N minutes"" is answerable. Label it as observation age, not real-time."
price rising + listings contracting,SUPPORTED NOW (descriptive only),"The most common joint state: 5.20% of 1h periods, 12.98% of 6h, 19.77% of 24h, spanning 80-81 assets. Ship as a descriptive state filter. It must not be labelled a buy signal - see the mechanical confounder in the price x listing-supply section."
price falling + listings expanding,SUPPORTED NOW (descriptive only),"3.20% of 1h periods, 9.71% of 6h, 18.17% of 24h, spanning 73-75 assets. Same caveat."
price stable + listings contracting,EXPERIMENTAL,"Representable, but at 1h it is largely inside the 11.61% ""price flat, listings moved"" bucket, which is dominated by sub-tick supply churn. Needs a stated price-stability tolerance rather than exact equality before it is useful."
high volatility + high listing activity,EXPERIMENTAL,"Both inputs exist per asset, but volatility inherits the price-granularity bias above and the two rankings correlate through market size. Usable as an exploratory view, not a headline preset."
"Published 24h sales ranking / ""most traded""",NOT YET SUPPORTED,"The provider republishes rolling 24h sales roughly once a day: 468 value changes across 89 assets in seven days, median 1,450 minutes between changes per asset. Repeated snapshots are not independent transactions and cannot be summed. Usable as a slow daily context series only."
Lead/lag or predictive screens,NOT YET SUPPORTED,"Listing change then forward price return is effectively uncorrelated across the universe (pooled Pearson +0.025 at 1h, +0.035 at 6h, -0.003 at 24h; non-overlapping 24h n=500, 95% CI -0.083 to +0.093). No predictive content is established."
